,price,swing_high,swing_low,fib_382,fib_500,fib_618,trend,forecast
2020-01-01,100.39737132240899,,,,,,0.0,0.0
2020-01-02,100.28675988147204,,,,,,0.0,0.0
2020-01-03,100.80491071195259,,,,,,0.0,0.0
2020-01-06,102.02333459707901,,,,,,0.0,0.0
2020-01-07,101.83601189730034,,,,,,0.0,0.0
2020-01-08,101.648702331741,,,,,,0.0,0.0
2020-01-09,102.91207258414691,,,,,,0.0,0.0
2020-01-10,103.52602036746924,,,,,,0.0,0.0
2020-01-13,103.15044085872128,,,,,,0.0,0.0
2020-01-14,103.58448889359005,,,,,,0.0,0.0
2020-01-15,103.21375473934008,,,,,,0.0,0.0
2020-01-16,102.84117093648388,,,,,,0.0,0.0
2020-01-17,103.0347407537367,,,,,,0.0,0.0
2020-01-20,101.50411655801047,,,,,,0.0,0.0
2020-01-21,100.12418229200004,,,,,,0.0,0.0
2020-01-22,99.67435226860727,,,,,,0.0,0.0
2020-01-23,98.86408737233972,,,,,,0.0,0.0
2020-01-24,99.11548523841594,,,,,,0.0,0.0
2020-01-27,98.38906597799897,,,,,,0.0,0.0
2020-01-28,97.25922301693073,,,,,,0.0,0.0
2020-01-29,98.43174203206799,,,,,,0.0,0.0
2020-01-30,98.25112099167875,,,,,,0.0,0.0
2020-01-31,98.3051435554291,,,,,,0.0,0.0
2020-02-03,97.16534500645832,,,,,,0.0,0.0
2020-02-04,96.72983882683818,,,,,,0.0,0.0
2020-02-05,96.81857689860607,,,,,,0.0,0.0
2020-02-06,95.89778203666823,,,,,,0.0,0.0
2020-02-07,96.19834045134476,,,,,,0.0,0.0
2020-02-10,95.71782949940973,,,,,,0.0,0.0
2020-02-11,95.4844744995751,,,,,,0.0,0.0
2020-02-12,95.00310920979159,,,,,,0.0,0.0
2020-02-13,96.48493175739874,,,,,,0.0,0.0
2020-02-14,96.47413397760839,,,,,,0.0,0.0
2020-02-17,95.62796523444366,,,,,,0.0,0.0
2020-02-18,96.28600116412622,,,,,,0.0,0.0
2020-02-19,95.3093262441494,,,,,,0.0,0.0
2020-02-20,95.4764171201532,,,,,,0.0,0.0
2020-02-21,93.90868102104939,,,,,,0.0,0.0
2020-02-24,92.84613218193064,,,,,,0.0,0.0
2020-02-25,93.00362117062593,,,,,,0.0,0.0
2020-02-26,93.59439443462227,,,,,,0.0,0.0
2020-02-27,93.73148905957424,,,,,,0.0,0.0
2020-02-28,93.63897043366366,,,,,,0.0,0.0
2020-03-02,93.39808747719222,,,,,,0.0,0.0
2020-03-03,92.21526988489828,,,,,,0.0,0.0
2020-03-04,91.63939451818251,,,,,,0.0,0.0
2020-03-05,91.27088350141469,,,,,,0.0,0.0
2020-03-06,92.11658128238982,,,,,,0.0,0.0
2020-03-09,92.39147591404459,,,,,,0.0,0.0
2020-03-10,90.9810437897544,103.58448889359005,90.9810437897544,98.76997286392483,97.28276634167221,95.79555981941961,0.0,0.0
2020-03-11,91.24031096527024,103.58448889359005,90.9810437897544,98.76997286392483,97.28276634167221,95.79555981941961,0.0,0.0
2020-03-12,90.93224514093718,103.58448889359005,90.93224514093718,98.75133178007665,97.25836701726362,95.76540225445058,0.0,0.0
2020-03-13,90.39070754069242,103.58448889359005,90.39070754069242,98.54446441678316,96.98759821714123,95.43073201749931,0.0,0.0
2020-03-16,90.88004857176512,103.58448889359005,90.39070754069242,98.54446441678316,96.98759821714123,95.43073201749931,0.0,0.0
2020-03-17,91.70484818976186,103.58448889359005,90.39070754069242,98.54446441678316,96.98759821714123,95.43073201749931,0.0,0.0
2020-03-18,92.44987228505482,103.58448889359005,90.39070754069242,98.54446441678316,96.98759821714123,95.43073201749931,0.0,0.0
2020-03-19,91.77849826647672,103.58448889359005,90.39070754069242,98.54446441678316,96.98759821714123,95.43073201749931,0.0,0.0
2020-03-20,91.53112836579575,103.58448889359005,90.39070754069242,98.54446441678316,96.98759821714123,95.43073201749931,0.0,0.0
2020-03-23,91.7961391109186,103.58448889359005,90.39070754069242,98.54446441678316,96.98759821714123,95.43073201749931,0.0,0.0
2020-03-24,92.57657521261649,103.21375473934008,90.39070754069242,98.31535070945667,96.80223114001625,95.28911157057583,0.0,0.0
2020-03-25,92.19323582234026,103.0347407537367,90.39070754069242,98.20472006635379,96.71272414721456,95.22072822807533,0.0,0.0
2020-03-26,92.0447086410092,103.0347407537367,90.39070754069242,98.20472006635379,96.71272414721456,95.22072822807533,0.0,0.0
2020-03-27,91.15964066180437,101.50411655801047,90.39070754069242,97.25879431339497,95.94741204935144,94.63602978530791,0.0,0.0
