<<<<<<< HEAD
,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,exchange_rate,point_value,stdev_lookback,stdev_decay,decay_fast,decay_slow,Daily_Return,returns,sqreturns,emwa_fast_fin,emwa_slow_fin,raw_cross,variance,std_dev,vol_adj_crossover,forecast_scalar,forecast,capped_forecast,1%_move,block_value,price_volatility,ICV,IVV,Daily_Cash_Vol_Tgt,Volatility_Scalar,Subsystem_Pos,Target_Pos,Current_pos,trades_needed,abs_forecast,forecast*returns,cum_series,smoothed_forecast,price_diff,distance,net_exp_ret,stdev,stdev_yearly,raw_carry,cum_series_carry
0,02/01/2023,67.9,68.405,67.725,68.285,62239,125100,AD1 Curncy,Future,CME,USD,0.005,5,1000,68285,68.285,68.525,0.5756596216396209,8546,0.002,0.75,0.6485,0.6485,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,,0.0,0.0,68.285,68.285,0.0,0.0,0.0,,30.0,inf,20.0,0.68285,682.8499999999999,0.008430250005705806,575.6596216396209,373.31526463329413,125000.0,334.8376341449282,669.6752682898564,670.0,,,,61.19999999999891,,,0.2400000000000091,0.08333333333333333,2.880000000000109,0.0,0.0,inf,
1,03/01/2023,68.17,68.54,67.06,67.54,110981,132015,AD1 Curncy,Future,CME,USD,0.005,5,1000,67540,67.54,67.795,0.5590872024883597,8547,0.002,0.75,0.6485,0.6485,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.010910155963974377,-0.7449999999999903,0.5550249999999856,68.19735294117648,68.26207692307693,-0.0647239819004568,0.5550249999999856,0.7449999999999903,-0.08687782805430556,30.0,7.701342281879158,7.701342281879158,0.6754000000000001,675.4000000000001,0.008277867966958242,559.0872024883597,362.56805081370123,125000.0,344.7628651213642,265.5136830380963,266.0,669.6752682898564,-404.0,6.399999999999879,23.566107382551117,-0.09902280130292905,-19.99999999999962,0.25499999999999545,0.08333333333333333,3.0599999999999454,0.7449999999999903,11.919999999999845,0.2567114093959719,23.566107382551117
2,04/01/2023,67.485,69.06,67.35,68.585,128730,124805,AD1 Curncy,Future,CME,USD,0.005,5,1000,68585,68.585,68.84,0.5896780901358368,8548,0.002,0.75,0.6485,0.6485,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.015472312703582958,1.0449999999999875,1.0920249999999738,68.24295847750865,68.27201301775148,-0.029054540242825055,0.5840520270270119,0.7642329664618059,-0.038017910137192586,30.0,7.507527484143097,7.507527484143097,0.68585,685.8499999999999,0.008597770505735028,589.6780901358368,382.40624145309016,125000.0,326.8775099617033,245.40418899857463,245.0,265.5136830380963,-20.0,1.2800000000000484,22.973034101478746,-0.11451306885414339,4.000000000000151,0.25500000000000966,0.08333333333333333,3.060000000000116,0.7642329664618059,12.227727463388895,0.25025091613810324,46.53914148402986
3,05/01/2023,68.54,68.635,67.525,67.755,92280,124045,AD1 Curncy,Future,CME,USD,0.005,5,1000,67755,67.755,68.01,0.5772185461211865,8549,0.002,0.75,0.6485,0.6485,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.01210177152438574,-0.8299999999999983,0.6888999999999972,68.18555159780175,68.25610492489758,-0.07055332709583695,0.5897194850255517,0.7679319533822979,-0.091874451616566,30.0,7.4713651056318655,7.4713651056318655,0.67755,677.55,0.008519202215647356,577.2185461211865,374.3262271595894,125000.0,333.933320538365,249.4937758678121,249.0,245.40418899857463,4.0,1.1104507680685185,22.8623772232331,-0.13491763244716706,-3.4701586502141204,0.25500000000000966,0.08333333333333333,3.060000000000116,0.7679319533822979,12.286911254116767,0.2490455035210622,69.40151870726297
4,06/01/2023,67.705,69.045,67.32,69.0,101320,123219,AD1 Curncy,Future,CME,USD,0.005,5,1000,69000,69.0,69.255,0.6339311871064877,8550,0.002,0.75,0.6485,0.6485,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.018375027673234623,1.2450000000000045,1.5500250000000113,68.2813690568839,68.2789940041315,0.0023750527523986875,0.6416278912403873,0.8010167858668052,0.0029650474176125645,30.0,7.162771244289432,7.162771244289432,0.6900000000000001,690.0000000000001,0.009187408508789676,633.9311871064876,411.1043748385572,125000.0,304.0590362218552,217.7905321216263,218.0,249.4937758678121,-32.0,2.009274935590686,21.91808000752649,-0.11977527061373007,6.278984173720893,0.25499999999999545,0.08333333333333333,3.0599999999999454,0.8010167858668052,12.816268573868884,0.23875904147631438,91.31959871478946
5,09/01/2023,68.935,69.675,68.92,69.52,85592,128058,AD1 Curncy,Future,CME,USD,0.005,5,1000,69520,69.52,69.775,0.7222159187663528,8551,0.002,0.75,0.6485,0.6485,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.007536231884057942,0.519999999999996,0.27039999999999587,68.42709034430932,68.31717880400439,0.10991154030493533,0.6215615187409067,0.7883917292443565,0.13941234570063457,30.0,7.277473605030577,7.277473605030577,0.6951999999999999,695.1999999999999,0.01038860642644351,722.2159187663528,468.3570233199798,125000.0,266.8904143124175,194.22879455942933,194.0,217.7905321216263,-24.0,3.69481394135919,22.269069231393168,-0.14156574408837422,11.546293566747469,0.25500000000000966,0.08333333333333333,3.060000000000116,0.7883917292443565,12.614267667909704,0.24258245350101923,113.58866794618262
6,10/01/2023,69.3,69.445,68.76,69.11,76366,125112,AD1 Curncy,Future,CME,USD,0.005,5,1000,69110,69.11,69.365,0.7499626657282047,8552,0.002,0.75,0.6485,0.6485,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.00589758342922897,-0.4099999999999966,0.1680999999999972,68.50743265674352,68.34157330234271,0.16585935440080846,0.5970500852954521,0.7726901612518773,0.21465182646054495,30.0,7.4253566147448575,7.4253566147448575,0.6911,691.1,0.010851724290670014,749.9626657282047,486.3507887247407,125000.0,257.01613505708957,190.84364585423177,191.0,194.22879455942933,-3.0,3.714795121775719,23.16711263800441,-0.13215915826417052,11.608734755549122,0.25499999999999545,0.08333333333333333,3.0599999999999454,0.7726901612518773,12.363042580030037,0.24751188715816191,136.75578058418705
7,11/01/2023,69.135,69.425,68.895,69.285,60568,124252,AD1 Curncy,Future,CME,USD,0.005,5,1000,69285,69.285,69.545,0.7965732860108475,8553,0.002,0.75,0.6485,0.6485,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.0025321950513672586,0.17499999999999716,0.030624999999999004,68.59891116771487,68.37060181611677,0.2283093515980994,0.5664325131173195,0.752617109237705,0.3033539216632274,30.0,7.77287671007817,7.77287671007817,0.69285,692.8499999999999,0.011497052551213792,796.5732860108475,516.5777759780345,125000.0,241.97711518529425,188.08582829956762,188.0,190.84364585423177,-3.0,4.127628267542883,24.251375335444365,-0.0967122531737756,12.898838336071508,0.2600000000000051,0.08333333333333333,3.1200000000000614,0.752617109237705,12.04187374780328,0.259095890335939,161.00715591963143
8,12/01/2023,69.21,70.005,68.74,69.88,101602,124445,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.8876954244856439,8554,0.002,0.75,0.6485,0.6485,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.008587717399148431,0.5949999999999989,0.35402499999999865,68.74962750092489,68.41704483715932,0.3325826637655638,0.5549510259217887,0.7449503513132864,0.4464494354278078,30.0,7.852872328588133,7.852872328588133,0.6988,698.8,0.01270314001839788,887.6954244856439,575.67048277894,125000.0,217.13810893444844,170.5157847133286,171.0,188.08582829956762,-18.0,4.9158403181191925,24.500961665195458,-0.0967122531737756,15.362000994122475,0.2600000000000051,0.08333333333333333,3.1200000000000614,0.7449503513132864,11.919205621012582,0.2617624109529378,185.5081175848269
9,13/01/2023,69.815,70.1,69.31,69.88,73884,127186,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.9648293458704054,8555,0.002,0.75,0.6485,0.6485,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.0,0.0,0.0,68.88261250081608,68.4620588421698,0.42055365864628413,0.5249536731692596,0.7245368680538344,0.5804448016233126,30.0,8.074123288872375,8.074123288872375,0.6988,698.8,0.013806945418866706,964.8293458704054,625.6918307969579,125000.0,199.77885893249504,161.30391375312072,161.0,170.5157847133286,-9.0,5.423772698945426,25.67571205861283,-0.09283147705832985,16.949289684204455,0.2600000000000051,0.08333333333333333,3.1200000000000614,0.7245368680538344,11.592589888861351,0.2691374429624125,211.1838296434397
